Destination;Autonomous Community of destination;Origin;Autonomous community of origin;Total
destination;Balears (Illes);origin;Andalucía;3.63
destination;Balears (Illes);origin;Aragón;0.87
destination;Balears (Illes);origin;Principado de Asturias;0.57
destination;Balears (Illes);origin;Illes Balears;43.20
destination;Balears (Illes);origin;Canarias;0.97
destination;Balears (Illes);origin;Cantabria;0.39
destination;Balears (Illes);origin;Castilla León;0.93
destination;Balears (Illes);origin;Castilla - La Mancha;0.57
destination;Balears (Illes);origin;Catalunya;27.48
destination;Balears (Illes);origin;Comunitat Valenciana;5.75
destination;Balears (Illes);origin;Extremadura;0.10
destination;Balears (Illes);origin;Galicia;0.98
destination;Balears (Illes);origin;Comunidad de Madrid;6.08
destination;Balears (Illes);origin;Región de Murcia;0.91
destination;Balears (Illes);origin;Comunidad Foral de Navarra;1.54
destination;Balears (Illes);origin;País Vasco;5.83
destination;Balears (Illes);origin;La Rioja;0.00
destination;Balears (Illes);origin;Ceuta;0.00
destination;Balears (Illes);origin;Melilla;0.00
